日付,見出し,詳細,詳細画像URL,リンクの見出し,リンクのURL
25.9.1,道路の清掃美化活動へのお礼状をいただきました,"この度、さいたま県土整備事務所より、道路の清掃美化活動へのお礼状をいただきました。<br>
弊社では、長年にわたって社屋周辺の道路清掃・美化活動を行っており、先日ネーミングライツに応募し採択された「安全なまちづくりに貢献　邦栄建設(株)　立ノ崎歩道橋」も、美化活動の範囲に追加させていただきました。<br>
これを励みに、一層地元への美化活動に努めてまいりたいと考えております。",https://drive.google.com/file/d/1lmMvQTxlCuxwUTccE3jt9D0WgMZ8mhvh/view?usp=sharing,,
2025.8.22,災害時の非常食を寄付しました,"弊社では、災害時に備え、非常食（ミネラルウォーター、アルファ米、キャンディ等）の定期的な備蓄および入れ替えを実施しております。<br><br>このたび、備蓄品の更新に際し、まだ十分安全にご利用いただける食品を「川口子育て応援フードパントリー中青木」様へ寄付いたしました。
<br><br>
本取り組みは、食品廃棄の削減と資源の有効活用を図るとともに、地域における子育て世帯の支援を目的としております。<br><br>弊社はSDGsの理念に賛同し、「つくる責任・つかう責任」および「住み続けられるまちづくり」に資する企業活動を推進してまいります。

<br><br>今後も引き続き、地域社会との共生と持続可能な社会の実現に向けて取り組んでまいります。",https://drive.google.com/file/d/13FoXxBGMQV_i2WPKY8v8_nf2LQBADh2a/view?usp=sharing,,
2025.8.21,立ノ崎歩道橋ネーミングライツの愛称が埼玉県より記者発表されました,"このたび弊社が応募しておりました<br>「立ノ崎歩道橋におけるキャッチコピー掲出」につきまして、<br>管轄する埼玉県 県土整備部 道路環境課様より公式プレスリリースが発表されましたのでご報告申し上げます。<br><br>
本事業を通じ、当社は 埼玉県において初めて歩道橋ネーミングライツの命名権を取得した企業 となりました。
<br><br>
地域社会に根ざした企業として、安全・安心で快適なまちづくりに引き続き取り組んでまいります。<br>
今後とも変わらぬご支援、ご厚誼を賜りますようお願い申し上げます。",,県管理道路の歩道橋で初となる愛称が決定しました！,https://www.pref.saitama.lg.jp/a1006/news/page/news2025082101.html
2025.8.18,川口市柳崎の護岸工事がまもなく完成いたします,"川口市柳崎１丁目地内にて、令和7年3月より施工しておりました河川護岸工事につきまして<br>すべての工程が順調に進み、まもなく完成を迎える運びとなりました。
<br><br>
工事期間中は、周辺住民の皆様にはご理解とご協力を賜り、深く感謝申し上げます。<br>完成検査を経て、地域の皆様に安心してご利用いただける状況となります。<br><br>今後も、地域の安全と発展に貢献できるよう、引き続き努力してまいります。",https://drive.google.com/file/d/1KIz6XavycHU6cZzprSq8VwLxkX1E58yA/view?usp=sharing,,
2025.8.7,「立ノ崎歩道橋」に当社キャッチコピーが掲出されました,"埼玉県が今年度より開始した「歩道橋ネーミングライツ事業」に応募し、<br>審査の結果、弊社のキャッチコピーが採択されました。
<br>8月6日夜、会社近くの「立ノ崎歩道橋」にキャッチコピーを記載したカッティングシートの施工が完了しました。
<br><br>
掲出されているキャッチコピーは<br>
「安全なまちづくりに貢献　邦栄建設㈱　立ノ崎歩道橋」です。
<br><br>このネーミングライツ事業は、歩道橋の維持管理や県民サービスの向上、さらには地域活性化を目的としています。<br><br>当社としても、地域インフラの支援を通して社会的責任を果たし、地域社会に貢献できることを大変光栄に思っております。<br><br>
今後も、安心・安全なまちづくりへの貢献を使命とし、皆さまから信頼される企業を目指してまいります。
お近くにお越しの際は、ぜひ立ノ崎歩道橋のキャッチコピーをご覧ください。",https://drive.google.com/file/d/1qtbE6erZFrlRIor8jjjEUTUfTtmGnuPq/view?usp=sharing,,
2025.8.4,夏季休業のお知らせ,"平素より格別のご愛顧を賜り、誠にありがとうございます。<br>
誠に勝手ながら、以下の期間を夏季休業とさせていただきます。<br>
 <br>
令和7年8月9日（土）～令和7年8月17日（日）
<br><br>
ご不便をおかけしますが、何卒ご理解のほどお願い申し上げます。
<br>今後とも変わらぬご支援を賜りますようお願い申し上げます。",,,
2025.8.1,安全衛生教育を実施いたしました,弊社では、先日、建設業労働災害防止協会（建災防）主催による「安全衛生教育」を実施いたしました。<br>本教育は、建設現場に従事する社員が労働災害を未然に防止するために必要な知識と技能を習得することを目的としています。<br>講義（座学）に加え、クレーンや重機の安全確認や危険予知活動を含む実技体験、グループディスカッションを通じ、実践的な安全管理能力の向上を図りました。<br>また、ご多忙の中、専門知識豊富な建災防の講師の皆様にはご指導を賜り、深く感謝申し上げます。<br>当社は今後も「安全第一」を基本理念とし、社員一人ひとりが安心して働ける環境整備に努めてまいります。,https://drive.google.com/file/d/18pnFD9RMGd3eFvSmQ2f9JzB45M8BCqbA/view?usp=sharing,,
2025.7.30,埼玉県「川の国応援団美化活動」団体表示板を設置しました,このたび弊社は、埼玉県が推進する「川の国応援団美化活動」の一環として、活動拠点に団体表示板を設置いたしました。<br>美化活動団体として表示板を設置できるのは、埼玉県に「川の国応援団美化活動団体」として登録し、1年以上にわたり継続的な活動実績があり、今後も引き続き活動を継続する団体のみとなります。<br>「川の国応援団美化活動」とは<br>埼玉県が管理する河川において、自治会・NPO法人・企業・学校等の団体が、ボランティアとしてゴミ拾いや草刈り、清掃などの美化活動を行い、河川環境保全と河川愛護意識の高揚を目的とした活動です。<br>弊社はこれまで、地域のクリーン活動や環境保全に取り組み続けてまいりました。<br>今後とも川の国応援団の活動を通じ、より豊かで美しい自然環境づくりに貢献してまいります。,https://drive.google.com/file/d/11assGnpeCtVS4KBBMLF4s4FJKZxCsNsW/view?usp=sharing,,
2025.7.4,えるぼし認定（認定段階３）をいただきました,"この度、邦栄建設株式会社は、2025年6月19日付で、女性の活躍推進に関する取り組みの実施状況が優良な企業として、埼玉労働局長より「えるぼし認定」の第3段階目の認定を取得いたしましたことをご報告申し上げます。<br>
<br>
「えるぼし認定」とは、女性活躍推進法に基づき、女性が能力を発揮しやすい職場環境であるかどうかの5つの評価項目（①採用、②継続就業、③労働時間等の働き方、④管理職比率、⑤多様なキャリアコース）において、優れた取り組みを行っている企業が認定される制度です。<br>
<br>
当社では、建設業界の持続的な発展には多様な人材の活躍が不可欠であるとの考えのもと、性別にかかわらず全ての社員がその能力を最大限に発揮できる職場環境の整備に努めてまいりました。特に、女性従業員の積極的な採用と育成、管理職への登用、そして育児や介護と仕事の両立を支援する制度の拡充などを推進してきた結果、今回の認定取得に至りました。<br>
<br>
この認定を励みとし、今後も社員一人ひとりが輝ける、より働きがいのある企業を目指してまいります。そして、多様な視点から生まれる新たな価値創造を通じて、お客様ならびに地域社会の発展に貢献していく所存です。<br>
<br>
今後とも変わらぬご支援とご指導を賜りますよう、心よりお願い申し上げます。",https://drive.google.com/file/d/1UKIN3IiFgS12lzLAyOPqotPLWz3xP-Pg/view?usp=sharing,,
2025.7.1,川口市企業ガイドに掲載されました,"この度、弊社が川口市発行の『川口市企業ガイド2025』に掲載されました。

本ガイドは、来年度新卒生等の採用を予定している川口市内企業の情報をまとめたパンフレットとして作成されており、若手社員のタイムラインや生の声、補助金制度、福利厚生、退職金制度など、働くために有益な情報が掲載されています。

弊社については、34ページに掲載されており、高校卒業後に入社し現在3年目を迎える若い現場監督の一日のスケジュールを詳しくご紹介いただいております。建設業界を目指す高校生の皆様に、実際の現場監督業務の流れや働き方をご理解いただける内容となっております。

建設業界にご興味をお持ちの学生の皆様、保護者の皆様には、ぜひ本ガイドをご覧いただき、弊社の取り組みや若手社員の活躍についてご確認いただければと思います。

弊社では引き続き、地域の建設業界を支える人材の育成に努めてまいります。<br>
<a href=""https://www.city.kawaguchi.lg.jp/soshiki/01110/021/1/48973.html"">★川口企業ガイド閲覧はこちらから</a>
",https://drive.google.com/file/d/1YGYAq5dhhSa2h3H2uSw2axbxUogVWIHg/view?usp=sharing,,
2025.6.30,根岸公民館・体育館解体の安全祈願を行いました,"この度、弊社では根岸公民館・体育館の解体工事を実施させていただくことになりました。<br>工事の安全を祈願し、無事故での完工を目指して、令和7年7月中旬から令和7年10月末までの期間で施工を予定しております。<br>

工事期間中は、重機や工事車両の出入りにより、近隣道路において一時的に通行の妨げとなる場合がございます。<br>特に工事車両の出入り時には交通誘導員を適切に配置し、歩行者や車両の安全確保に努めるとともに、皆様の日常生活への影響を最小限に抑えるよう配慮いたします。<br>また、作業員の安全教育を徹底し、近隣住民の皆様の安全を最優先に工事を進めてまいります。<br>

騒音や粉塵につきましても、作業時間への配慮や適切な防塵対策を講じることで、生活環境への影響を可能な限り軽減するよう努めます。<br>地域の皆様には長期間にわたりご不便とご迷惑をおかけいたしますが、安全第一を心がけ、責任を持って工事を完遂いたしますので、ご理解とご協力のほど、何卒よろしくお願い申し上げます。",https://drive.google.com/file/d/1mxCMuEe9SMY9eMtJq945CViLXuch8A0e/view?usp=sharing,,
2025.4.15,下水道管更生工事まもなく完成します,"年始より施工しておりました下水道管更生工事が、間もなく完成いたします。<br>
本工事は、老朽化した下水道管が掘り返すことなく、内側から補強・修復し、機能を回復させるものです。<br>
交通量の少ない夜間に施工を行っておりますが、工事期間中は周辺にお住まいの皆様やご通行の皆様にご不便・ご迷惑をおかけしております。<br>
引き続きご理解とご協力を賜りますよう、よろしくお願い申し上げます。",https://drive.google.com/file/d/1rwbqjEu8jPTIuk3pAkQHYnS-0hulPLjP/view?usp=sharing,,
